Claim_ID,Claim_Date,Customer_ID,Claim_Amount,Claim_Type,Suspicious_Flags,Fraud_Label,Annual_Income,Claim_to_Income_Ratio,Quick_Claim,Iso_Forest_Outlier,LOF_Outlier,Elliptic_Outlier
f6f6d634,2023-08-21,830a71b1-b,0.562008782337968,Medical,0,0,182838,0.0720724254705601,False,1,1,1
db83c916,2024-01-05,63ded256-7,0.6966264058332573,Home,0,0,181414,0.090167693478224,False,1,1,1
d833ad6e,2021-12-09,bf515e9c-4,0.8885677487399476,Home,0,0,75370,0.2801817284976552,False,1,1,1
c5bfed8e,2023-07-28,3201b76f-a,0.0172304197470767,Medical,0,0,136321,0.0030913178865941,False,1,1,1
63ab510a,2020-09-01,5f827f76-a,0.6494524729481681,Life,0,0,134814,0.1138258508518929,False,1,1,1
5a3d849b,2021-03-22,5505c8fe-b,0.8774387213889481,Auto,0,0,91630,0.2272118514938836,False,1,1,1
c33cc872,2023-04-21,f0f56889-d,0.4100747411441378,Life,1,1,114066,0.0853968477944863,False,1,1,1
c3631d53,2023-06-22,00841efd-a,0.5680667701075989,Medical,1,1,172044,0.0775611653735078,False,1,1,1
a3c2dbd7,2020-06-05,5a431068-f,0.7294958775746144,Medical,0,0,69432,0.2502594533350941,False,1,1,1
2734e0b5,2021-12-20,b9dc8886-6,0.3617083979839159,Auto,0,0,36363,0.2411174740691671,False,1,1,1
ae8e323b,2021-04-28,05421ad7-5,0.6202685407729676,Medical,1,1,112659,0.1305227781460484,False,1,1,1
4f2818c0,2023-12-30,d7bc47f4-6,0.6024783230399465,Medical,0,0,149728,0.0948680477218511,False,1,1,1
9ff0dc8a,2019-12-02,ceb5d418-1,0.5614631821270296,Medical,1,0,46462,0.2897023883787569,False,1,1,1
cbfa9e21,2022-05-02,d6068916-f,0.6650150597827741,Life,0,0,159266,0.0983237253722544,False,1,1,1
d115249a,2021-02-27,43a6c4db-a,0.749655095480037,Medical,0,0,109152,0.1627613537683049,False,1,1,1
c9a573a5,2019-06-01,02f3aa78-5,0.5285750504528077,Life,1,1,96530,0.1302756926043408,False,1,1,1
e05cfce7,2019-11-06,e1f3a307-4,0.1125650308801606,Home,1,1,171071,0.0151753068148359,False,1,1,1
1682b176,2019-10-26,9c7e33b4-d,0.6490419544251422,Life,0,0,132057,0.1161740972995414,False,1,1,1
4e80639a,2021-10-12,cd919d25-4,0.6807453831878062,Life,1,1,148760,0.1079162928210664,False,1,1,1
45267bf9,2020-05-31,0c73dfd2-0,0.6307540032654883,Home,0,0,106374,0.1406889089568631,False,1,1,1
74393653,2021-06-19,1b45f152-b,0.1422827993955804,Life,1,0,25861,0.1396694883404079,False,1,1,1
0f6bc7a3,2020-06-22,8e5fab7b-5,0.1547650775299928,Auto,0,0,42051,0.0920668639626001,False,1,1,1
e00a23a7,2020-10-30,7b02c91a-d,0.5248246067723388,Life,1,0,136395,0.0909170846771013,False,1,1,1
ffe08ed5,2023-03-17,ff9f79cd-d,0.0983613739389698,Home,0,0,54310,0.0462861336605852,False,1,1,1
c8e453be,2023-01-23,5ccfb2fb-9,0.910432727899642,Auto,1,1,181986,0.1176043215452123,False,1,1,1
